Year,Category,Film Title,Winner,Speech
2014,Costume Design,The Grand Budapest Hotel,Milena Canonero," MILENA CANONERO:
Thank you, all of you. Thank you very much, members of the Academy. And thank you, Wes. This is – this is you. This I should share with you. You've been a great inspiration. You are like a conductor. You are like a composer. You are like – you are  our director and you inspire us, all of us, that have been nominated here. If it wasn't for you, this movie, you know, I couldn't have done it this way. And thank you very much, Wes. Thank you for ""Life Aquatic."" Thank you for ""Darjeeling Limited."" Thank you for this one. And thank you, all of you. Thank you.
"
2015,Actress in a Leading Role,Room,Brie Larson," BRIE LARSON:
Thank you. Thank you first to the Academy. I want to start big because the thing that I love about moviemaking is how many people it takes to make it. So I want to start first with the Telluride Film Festival, the Toronto Film Festival, who gave us a chance, who gave us a platform first. I'd like to thank A24 for taking this movie into their hands and sharing it with the world. I'd like to thank our director Lenny Abrahamson, who is absolutely incredible. Emma Donoghue, who created this world. Jacob Tremblay, my partner through this in every way possible. My real partner, Alex Greenwald; I love you the whole thing. To my parents, my agent, my manager, Chris Fioto, Anne Woodward, Lindsay Galin, the rest of my team, my friends, my family. Thank you to everyone who participated in ""Room."" Thank you to all of you who saw it. Thank you to the fans. Thank you to the moviegoers. Thank you for going to the theater and seeing our films. I appreciate it. Thank you.
"
2015,Actress in a Supporting Role,The Danish Girl,Alicia Vikander," ALICIA VIKANDER:
Wow. Thank you so much, the Academy, for this incredible recognition. I share this with our fabulous crew and cast. And I want to thank, I want to thank Gail and Anne and Nina and Working Title and Focus and Tom. Where are you? My director. Thank you so much for your support and belief in me. And Eddie, there you are. Thank you for being the best acting partner; I couldn't have done it without you. You raised my game. I wouldn't be here if it wasn't for my dream team, which is Theresa, Angharad, Charles, Laura. I want to thank my friends, alla ni där hemma. And my mom and dad, thank you for giving me the belief that anything can happen, even though I would never have believed this. Thank you.

=============================

Thank you scroll (as it appeared on the live broadcast):
Alicia Vikander would like to thank: Everyone in the incredibly passionate and hardworking crew. From the runners to the H.O.D.s - it wouldn't have been possible without you! Thank you Carmel Jackson, the entire make-up, hair and costume department. Thank you Nina Gold for believing in me. Thank you Tom, Eddie, Matthias, Amber, Rebecca, Gail and Anne, Danny, Lucinda, David, Leslie Fabian, Penny, Working Title, and Focus. My incredible team: Laura, Angharad, Charles, Theresa, Emma, Laura and my friends and family. Love you all!!
"
2015,Costume Design,Mad Max: Fury Road,Jenny Beavan," JENNY BEAVAN:
What another lovely day. Very quickly, if Iain Smith, our amazing executive producer from Scotland, hadn't sent me a text saying, ""whatcha doing at the moment?"" and then got me on a plane out to meet George Miller and Doug Mitchell, I wouldn't obviously be standing here. It was a year of our lives in the Namibian desert. We had the most amazing crew. I hope that some, I'd heard they were on ticker tape, I thought they'd, that the names were going on the screen. But honestly, if anybody wants to know more about any of them just get in touch with me through my wonderful agents Wayne Fitterman from William Morris and Sue Latimer from ARG. But it was an incredible experience. But I just want to say one quite serious thing and I've been thinking about this a lot. But actually it could be horribly prophetic, ""Mad Max,"" if we're not kinder to each other and if we don't stop polluting our atmosphere. So you know, it could happen.

=============================

Thank you scroll (as it appeared on the live broadcast):
Jenny Beavan would like to thank: George Miller, Iain Smith, Sarah Young, Mel (Helen) Dykes, Paul Jeacock, Stephen Miles, Annelize Ras, Jane Law, Anabel Temple, Marc Trunk, Alex Carey, Mark Foster, Tyrone, Kristen, Sylvia, Salinde, Enrico, Shantel, Adelaide, Petrus, Bennedictus, Melissa, Max, Andrea Hood, Amanda Enders, Rick, Inge, Joanne, Terence, Nina, Clinton, Thomas, Charl, Ingrid, Leonie, Emeritha, Alicia, Zayne, Ari, Christo, Norman, Gisella, Erenstine, Emma, Jeanine, Naomi, Memory Motinga, Katherine, Bertha, Eddy, Seglende, Frieda, Gustafine, Gisela, Ida, Maria, Christina, Retha, Max, Timo, Brian, Adolf, Carlos.
"
2015,Documentary (Short Subject),A Girl in the River: The Price of Forgiveness,Sharmeen Obaid-Chinoy," SHARMEEN OBAID-CHINOY:
Thank god I have two of them now [laughs]. This is what happens when determined women get together. From Saba, the woman in my film who remarkably survived an honor killing and shared her story, to Sheila Nevins and Lisa Heller from HBO, to Tina Brown, who supported me from day one. To the men who champion women, like Geof Bartz in my film, who's edited the film, to Asad Faruqi, to my friend Ziad, who brought this film to the government. To all the brave men out there, like my father and my husband, who push women to go to school and work and who want a more just society for women. Last week – this week the Pakistani Prime Minister has said that he will change the law on honor killing after watching this film. That is the power of film.

=============================

Thank you scroll (as it appeared on the live broadcast):
Sharmeen Obaid-Chinoy would like to thank: HBO, Sheila Nevins, Tina Brown, Lisa Heller, Geof Bartz & Alex. To my soul mate who inspires me. My mother Saba. Siblings: Mahjabeen, Mehreen, Sana, Hadeel, Humza. SOC Films: Asad, Haya, Wasif, Nadir, Husain, Maheen, Zehra, Aatir, Shahzad, Ali, Raheel, Saad, Anas, Sualeha. Waadi Animations, CAP. Essentials: Selina, Zubair, Bina, Sania. Mentors: Bill Abrams, Ann Derry, Kevin Sutcliffe, Ed Robbins. Friends: Ziad, Salim, Maheen, Sabeen, STK, Mariam, Laura, Jenn, Julia, Sasha, Shelly, Constance, Swaleha. And Pakistan & Canada!
"
2015,Film Editing,Mad Max: Fury Road,Margaret Sixel," MARGARET SIXEL:
Wow. Charlize! [Waves to her in the audience.] Us Mad Maxers are doing okay tonight. Thank you so much to the Academy. You know, ""Mad Max"" was the best-reviewed film of 2015. Audiences loved it, and to be honored tonight is just more than we could ever have hoped for. But, it took enormous creative courage and guts to make this film, so I just want to say thanks to George Miller, Doug Mitchell and the whole crew that endured six months in that Namibian desert to bring back the most amazing footage. But honestly, it's in the edit room that the final, that the film is finally forged. It's the final rewrite. So I just want to salute my beloved picture department who are in Sydney, and all who work in post, who work with their hands, heads and most importantly, their hearts. Thank you.

=============================

Thank you scroll (as it appeared on the live broadcast):
Margaret Sixel would like to thank: George Miller, Budo & Tige Miller, Doug Mitchell, PJ Voeten, Warner Brothers, Courtney Valenti, Chris DeFaria, Darren Higman, Massey Rafani, Tom Holkenborg, Bob Badami, Andrew Jackson, Holly Radcliffe, Matt Town, Mark Perry, Andrew Corsi, Semih Ozkoseoglu, Kento Watanabe, Eliot Knapman, Nicole Thorn, Brendan Jenkins, Jasper Susi, Mandy Eyley, Jasmine De Carlo, Jason Ballantine, Eric Whipp, Petrina Edge, Chris Jenkins, Gregg Rudloff, Mark Mangini, Scott Hecker, David White, Wayne Pashley, Harry & Joan Sixel. In memoriam: my brother Mark Sixel.
"
2016,Actress in a Leading Role,La La Land,Emma Stone," EMMA STONE:
Thank you so much to the Academy. To the women in this category – Natalie, Isabelle, Meryl, Ruth – you were all so extraordinary, and I look up to you and I admire you more than I can put into words. It has been the greatest honor just to stand alongside you; that is the greatest honor of all. To my mom and my dad and my brother Spencer and my soul sister Chrissy* and my whole family, I love you so much. Thank you for everything. And to Doug Wald, who stood by me all these years, and to Holly and Michelle and Craig and P.J. and Greta and Bob Cooper, thank you so much. And I realize that a moment like this is a huge confluence of luck and opportunity and so I want to thank Damien Chazelle for the opportunity to be part of a project that was so special and once in a lifetime. I'm so grateful to have been involved in this film. And thank you for your faith and your patience and such a wonderful experience. And Ryan Gosling, thank you for making me laugh and for always raising the bar and for being the greatest partner on this crazy adventure. To our whole crew, everyone that put their heart and souls into this film, I'm gonna find you all individually and I'm gonna thank you, along with my friends who I love so much, I am gonna hug the hell out of you when the feeling reenters my body. I still have a lot of growing and learning and work to do, and this guy is a really beautiful symbol to continue on that journey and I am so grateful for that. So thank you so much. Thank you.
"
2016,Actress in a Supporting Role,Fences,Viola Davis," VIOLA DAVIS:
Thank you to the Academy. You know, there's one place that all the people with the greatest potential are gathered. One place. And that's the graveyard. People ask me all the time, ""What kind of stories do you want to tell, Viola?"" And I say, exhume those bodies. Exhume those stories. The stories of the people who dreamed big and never saw those dreams to fruition. People who fell in love and lost. I became an artist, and thank god I did, because we are the only profession that celebrates what it means to live a life. So here's to August Wilson, who exhumed and exalted the ordinary people.

And to Bron Pictures, Paramount, MACRO, Todd Black, Molly Allen, Scott Rudin for being the cheerleaders for a movie that is about people, and words, and life, and forgiveness and grace. And to Mykelti Williamson, Stephen McKinley Henderson, Russell Hornsby, Jovan Adepo, Saniyya Sidney, for being the most wonderful artists I've ever worked with. And, ""O captain, my captain,"" Denzel Washington. Thank you for puttin' two entities in the driving seat: August and God. And they served you well.

And to Dan and Mae Alice Davis, who were the, and are the center of my universe. The people who taught me, good or bad, how to fail, how to love, how to hold an award, how to lose. My parents. I'm so thankful that God chose you to bring me into this world. To my sisters. My sister Deloris, who's here, who played Jaji and Jaja with me. We were rich white women in the tea party games. Thank you for the imagination. And to my husband and my daughter, my heart, you and Genesis. You teach me every day how to live, how to love. I'm so glad that you are the foundation of my life. Thank you to the Academy. Thank you.
"
2016,Costume Design,Fantastic Beasts and Where to Find Them,Colleen Atwood," COLLEEN ATWOOD:
Thank you. I'm truly floored. Sting told me I was gonna win tonight, and I didn't believe him at all. I was like, what? Obviously I didn't prepare anything. Thank you to Warner Bros. for their tremendous, really supportive team. Steve Papazian. My amazing director, lovely David Yates. It's just like a special treat to work with him. And my amazing team and the rest of the people who I've forgotten about tonight. Thank you all very much. My kids, who are here with me. Thanks so much.
"
2017,Actress in a Leading Role,"Three Billboards Outside Ebbing, Missouri",Frances McDormand,"FRANCES McDORMAND:
Okay. So I'm hyperventilating a little bit. If I fall over pick me up because I've got some things to say. So I think this is what Chloe Kim must have felt like after doing back-to-back 1080s in the Olympic halfpipe. Did you see that? Okay, that's what it feels like.

I want to thank Martin McDonagh; look what you did. We are a bunch of hooligans and anarchists but we do clean up nice. I want to thank every single person in this building. And my sister Dorothy. I love you, Dot. And I especially want to thank my clan, Joel and Pedro ""McCoen."" These two stalwart individuals were well-raised by their feminist mothers. They value themselves, each other, and those around them. I know you are proud of me and that fills me with everlasting joy.

And now, I want to get some perspective. If I may be so honored to have all the female nominees in every category stand with me in this room tonight. The actors—Meryl, if you do it everybody else will, c'mon. The filmmakers. The producers. The directors. The writers. The cinematographer. The composers. The songwriters. The designers. C'mon! Okay. Look around, everybody. Look around, ladies and gentlemen, because we all have stories to tell and projects we need financed. Don't talk to us about it at the parties tonight. Invite us into your office in a couple days—or you can come to ours, whichever suits you best—and we'll tell you all about them. I have two words to leave with you tonight, ladies and gentlemen: inclusion rider."
2018,Actress in a Leading Role,The Favourite,Olivia Colman,"OLIVIA COLMAN:
It's genuinely quite stressful. This is hilarious; got an Oscar. Okay. I have to thank lots of people. If, by the way, I forget anybody I'm gonna find you later and I'm gonna give you all a massive snog, and I'm really sorry if I might forget now. Yorgos, my best director, in the best film, and with Emily and Rachel, the two loveliest women in the world to fall in love with and to go to work with every day. I mean, you can imagine, it wasn't a hardship. And to be in this category with these extraordinary women. And Glenn Close, you've been my idol for so long and this is not how I wanted it to be. And I think you're amazing and I love you very much. I love you all.

Thank you, Lindy King, my agent who took me on over twenty years ago. Thank you sooo much. And Olive, and Hildy, and Bryna, who made me do things that I've said no to but she was right. And my mum and my dad — well, you know. And my kids who are at home and watching, look! Well, if you're not then, well kind of well done, but I sort of hope you are. This is not gonna happen again.

And any little girl who is practicing their speech on the telly, you never know. And when I used to work as a cleaner, and I loved that job, I did spend quite a lot of my time imagining this — oh, please wrap up. Right, okay. [Sticks her tongue out and blows a raspberry.] Thank you. And my husband Ed, my best friend, I love you so much. Twenty-five years and you've been my best supporter, and he's gonna cry. I'm not. And thank you so much. Fox, everybody, everybody, the cast, the crew. Frances, Sam, thank you. Thank you so much [blows a kiss], Lady Gaga. [Lady Gaga blows kisses back.] And Melissa. Thank you."
2018,Actress in a Supporting Role,If Beale Street Could Talk,Regina King,"REGINA KING:
To be standing here representing one of the greatest artists of our time, James Baldwin, it's a little surreal. James Baldwin birthed this baby and Barry, you nurtured her, you surrounded her with so much love and support. So it's appropriate for me to be standing here, 'cause I'm an example of what it looks like when support and love is poured into someone. Mom, I love you so much. Thank you for teaching me that God is always leaning, always has been leaning, in my direction. G'moses(?). They'll ask me about that later. Um, so many people to thank. Chelsea Barnard, who brought this project to Annapurna. Megan Ellison. Annapurna. Plan B. This amazing cast. My sisters in art: Marina, Amy, Emma, Rachel. Has been an honor having my name be just said with yours this whole step of the way. It's been pretty amazing. The Rivers family: KiKi, Colman, Teyonah, Stephan. God is good all the time."
2019,Actress in a Supporting Role,"Marriage Story
",Laura Dern,"LAURA DERN:
Thank you to the Academy for this honor. Just to be in this room with such remarkable artists, including my fellow nominees, my sisters and colleagues. Thank you, Netflix, my friend Ted, Scott, everyone, for their support and love. To Noah, his vision, his magic. Thank you, Noah, for your words and for your friendship in art and life with you and Greta. Thank you to this cast: the majestic Adam, Scarlett, Alan, Ray. Our amazing crew, David.

Noah wrote a movie about love and about breaching divisions in the name and in the honor of family and home, and hopefully for all of us, in the name of our planet. And I would like to say a special thank you to the gifts of the love stories in my life: my stepchildren C.J. and Harris, my heart and inspiration, Ellery and Jaya. And you know, some say never meet your heroes, but I say if you're really blessed you get them as your parents. I share this with my acting heroes, my legends: Diane Ladd and Bruce Dern. You got game. I love you. Thank you all for this gift; this is the best birthday present ever. I love you. I love my friends. You lift me up every day. Thank you."
2019,Costume Design,Little Women,Jacqueline Durran,"JACQUELINE DURRAN:
Thank you to the Academy. I'm indebted to a lot of people. To a wonderful team. To an amazing cast. To producer Amy Pascal. To my family, who enable me to be a working mother. And first and last, to Greta Gerwig. She was an inspiration to all of us with her courage and her brilliance. Thank you."
2020,Actress in a Leading Role,"Nomadland
",Frances McDormand,"FRANCES McDORMAND:
Look, they didn't ask me, but if they had I would've said karaoke. Because when you've got voices like Leslie and Marcus and – that we should've had a karaoke bar, okay?

""I have no words. My voice is in my sword."" We know the sword is our work, and I like work [laughs]. Thank you for knowing that, and thanks for this."
2020,Costume Design,Ma Rainey's Black Bottom,Ann Roth," ANN ROTH:
[No speech.]"
2020,Directing,"Nomadland
",Chloé Zhao,"CHLOÉ ZHAO:
Oh, man. Thank you. Thank you to the Academy. Thank you to my brilliant, brilliant nominees, fellow nominees, thank you. My entire ""Nomadland"" company, what a crazy once-in-a-lifetime journey we went on together. Thank you so much. I'm so grateful to you.

I've been thinking a lot lately of how I keep going when things get hard. And I think, I think it goes back to something I learned when I was a kid. When I was growing up in China my dad and I used to play this game. We would memorize classic Chinese poems and texts, and we would recite it together and try to finish each other's sentences. And there's one that I remember so dearly. It's called the ""Three Character Classics."" And the first phrase goes: rén zhi chu, xìng ben shàn. ""People at birth are inherently good."" And those six letters had such a great impact on me when I was a kid, and I still truly believe them today. Even though sometimes it might seem like the opposite is true, but I have always found goodness in the people I've met, everywhere I went in the world. So this [holding up the Oscar] is for anyone who has the faith and the courage to hold on to the goodness in themselves, and to hold on to the goodness in each other, no matter how difficult it is to do that. And this is for you. You inspire me to keep going. Thank you. Thank you."
2020,Writing (Original Screenplay),PROMISING YOUNG WOMAN,Emerald Fennell,"EMERALD FENNELL:
Oh my gosh. They said write a speech and I didn't 'cause I just didn't think this would ever happen. And I'm going to be in trouble with Steven Soderbergh. I'm so sorry. I don't want him to be cross with me. Oh my god, he's so heavy [referring to the Oscar statuette], and he's so cold! I better lay him down. So the only speech I ever wrote was when I was ten. And I had a look to see if there'd be anything useful from it, but unfortunately it mostly thanked Zack Morris from ""Saved by the Bell,"" who was my very supportive husband. Unfortunately, he hasn't been as much a part of my life as I'd hoped, and so that speech is not that useful.

But all I can say is – I'm trying very hard not to cry, which is very difficult as an English person because you don't cry ever. This film was made by the most incredible people in the world, who made it in 23 days, just, and brought their complete genius and love and humor to it. And I have so many people to thank. I feel mortified that I'm here by myself when it's not just my job at all. I want to thank Carey Mulligan for being not only the most talented person in the world, but the kindest and the funniest. I want to thank the producers for standing behind this film always and, you know, never giving up. And LuckyChap, Focus, FilmNation. The cast and the crew, the greatest in the world, the kindest in the world. They just made me look good, and again, I'm just so grateful. Finally, my family: Mum, Dad, Coco, my husband Chris – come on, come on – our son, who did not arrive until a couple of weeks after shooting. Thank god, because I was crossing my legs the whole way through. So thank you all so much. Steven, I hope that was alright. Thank you."
2021,Costume Design,Cruella,Jenny Beavan,"JENNY BEAVAN:
[Holding up the Oscar:] Team ""Cruella."" Go team ""Cruella."" Now if you heard the really embarrassing noises it was probably my family who are somewhere up there, who supported me through this extraordinary experience. Which had massive amounts of fun, as you can see, but also, it was slightly stressful. The only one I'm missing is my darling son-in-law David, who used to give me good advice at the end of every day but is no longer with us. Anyway, [looking down at her outfit] I just thought I should explain -- it obviously didn't go down well last time. This is honoring my inner Cruella: a little bit of Maddy Moxham, Random Lapel, Tom Davies eyewear, Thom Botwood graffiti.

And I have to tell you when Kristin Burr and Craig Gillespie asked me to do this movie, I truly didn't think we had the time. I mean, I actually nearly said no. Glad I didn't. The only reason I didn't was because Clare Spragge -- who's sitting just there, sparkling -- said she would come on board as costume supervisor and bring the team. The team of the most phenomenal, creative, clever, generous, amazing people, I mean, without whom obviously it wouldn't have happened. And I also need to thank Nadia and Naomi and Julia, our makeup and hair team, because they complete the looks. I mean, you know, it would be a little sad putting a Cruella costume in my hair. But also, the actors who just brought such life. I think Emma Thompson hyperventilating over some of her fittings with joy was one of the highlights of my career.

Anyway, I think that's all. [Paging through her show program:] I kind of, of course left the thing in the car and had to write it all on here. But I think I've probably -- people have made such wonderful speeches. But the lovely thing I think about a film like ""Cruella"" is it does bring a bit of fun and joy in these terrible times, which others have mentioned. [Music begins to play.] But, you know, it -- it was great to do. And thank you, Academy. Thank you, thank you, thank you."
2021,Directing,The Power of the Dog,Jane Campion,"JANE CAMPION:
Thank you, Kevin, that was very dramatic. Just want to say, big love to my fellow nominees. I love you all. You're all so extraordinarily talented, and it could have been any of you.

Kia ora, kia ora, Aotearoa, New Zealand and Australia. I love directing because it's a deep dive into story, yet the task of manifesting a world can be overwhelming. The sweet thing is I'm not alone. On ""The Power of the Dog"" I worked with actors I'm moved to call my friends. They met the challenge of the story with the depth of their gifts: Benedict Cumberbatch, Kirsten Dunst, Kodi Smit-McPhee, Jesse Plemons. And my whole crew, who are true hearts. I thank my brilliant producers. Tanya Seghatchian, who was always by my side. Emile Sherman, Iain Canning and Roger Frappier. Also, Kate Richter. Netflix, your whole awesome team embraced this film from the very beginning, thank you so very much.

And my home people, my family, you know who you are. Especially Alice, my daughter, is here. Toni, my beautiful partner, you gave me so much love and encouragement and made it fun. But it would be impossible without the man I never met, Thomas Savage. He wrote about cruelty wanting the opposite, kindness. Thank you, Academy. It's a lifetime honor. Thank you."
2022,Writing (Adapted Screenplay),WOMEN TALKING,Sarah Polley,"SARAH POLLEY:
Thank you. First of all, I just want to thank the Academy for not being mortally offended by the words ""women"" and ""talking"" put so close together like that. Cheers. Miriam Toews wrote an essential novel about a radical act of democracy in which people who don't agree on every single issue manage to sit together in a room and carve out a way forward together, free of violence. They do so not just by talking but also by listening. The last line of our film is delivered by a young woman to a new baby, and she says: ""Your story will be different from ours."" It's a promise, a commitment, and an anchor. And it's what I would like to say with all of my might to my three incredible kids, Eve, Isla, and Amy, as they make their way through this complicated, beautiful world. Thank you to the best man I've ever known, David Sandomierski, for giving me the optimism to believe we can and will do better. Dede Gardner and Frances McDormand, thank you for letting me stand on your shoulders and making this space for me. We have the most incredible cast and the most incredible crew, some of whom are here tonight -- please, stand up if you're there [pointing] or in the nosebleeds, and everybody at home who worked on this film. Oh my god! I accept this on all of our behalf. Thank you. Thank you. Wow!"
