Year,Category,Film Title,Winner_x,Speech,YouTube,Winner_y
1976,Music (Original Song),A Star Is Born,Music by Barbra Streisand; Lyrics by Paul Williams," BARBRA STREISAND:
In my -- [responding to audience member:]  Yo, Barbra.  Thank you, honey. In my wildest dreams I never, never could ever imagine winning an Academy Award for writing a song.  I'm very honored and excited.  Thank you all very much.

PAUL WILLIAMS:
I was gonna thank all the little people and... then I remembered I am the little people.  [Speaking to audience member:] You're right, Hank, it's very heavy.  This is a very nice thing.  When you wish upon a star, it's a beautiful thing to have happen.  I, you know, a lot of us worked on ""A Star Is Born.""  ""Evergreen"" had a beautiful arrangement by Ian Freebairn-Smith, and a guy that I work with named Kenny Ascher was involved.  There're a lot of us. I wish that I could share all of this with them right now.  I know they're watching, and I say to them and to Denny Bond and my wife Katie:  I love you. God bless you.  Thank you, Academy.
",,Barbra Streisand
1976,Short Film (Animated),Leisure,"Suzanne Baker, Producer (not present; accepted by presenter)"," [Winner not present.]
",,Suzanne Baker
1977,Actress in a Leading Role,Annie Hall,Diane Keaton," DIANE KEATON:
Mercy.  Well then, this is terrific.  It's simply terrific.  Naturally I'm very honored to have been nominated with actresses like Jane Fonda and Shirley MacLaine and Anne Bancroft and Marsha Mason; this is something.  Anyway, ""Annie Hall"" was a wonderful experience for me and I just would like to say thanks to Woody, and thank you.  Thank you very much.
",,Diane Keaton
1977,Actress in a Supporting Role,Julia,Vanessa Redgrave," VANESSA REDGRAVE:
My dear colleagues, I thank you very, very much for this tribute to my work. I think that Jane Fonda and I have done the best work of our lives and I think this was in part due to our director, Fred Zinnemann.  And I also think it's in part because we believed and we believe in what we were expressing. Two, out of millions, who gave their lives and were prepared to sacrifice everything in the fight against fascist and racist Nazi Germany.  And I salute you and I pay tribute to you and I think you should be very proud that in the last few weeks you've stood firm and you have refused to be intimidated by the threats of a small bunch of Zionist hoodlums whose behavior is an insult to the stature of Jews all over the world and to their great and heroic record of struggle against fascism and oppression.  And I salute that record, and I salute all of you for having stood firm and dealt a final blow against that period when Nixon and McCarthy launched a worldwide witch hunt against those who tried to express in their lives and their work the truth that they believed in.  I salute you, and I thank you, and I pledge to you that I will continue to fight against anti-Semitism and fascism.  Thank you.
",,Vanessa Redgrave
1977,Short Film (Live Action),I'll Find a Way,"Beverly Shaffer and Yuki Yoshida, Producers (Yoshida not present)"," BEVERLY SHAFFER:
The film ""I'll Find a Way"" is the story of nine-year-old Nadia DeFranco who is physically handicapped.  She and I hope that everyone who sees the film, and in particular children, will be sensitized to the need and the dignity of the physically handicapped people.  I would like to thank the people of Canada who support the National Film Board of Canada and make it a very special and unique place to make films.  Thank you to Kathleen Shannon, my executive producer, and to the Women's Unit at the Film Board, and to all those who helped make this film.  And thank you to my family and my friends, all of whom share this excitement.  Thank you.
",,Beverly ShafferYuki Yoshida
1977,Honorary Award,None,To Margaret Booth for her exceptional contribution to the art of film editing in the motion picture industry.," MARGARET BOOTH:
Thank you.  I'm deeply grateful.  I want to thank the Board of Directors of the Academy for giving me this wonderful award, and also the producers and directors who wrote such marvelous letters that contributed toward the award. I'm deeply grateful.  But isn't it wonderful that one can win an award for something one loves to do?  And I love my work, and thanks to Ray Stark I'm still doing it.  Thank you.
",,Margaret Booth
1978,Actress in a Leading Role,Coming Home,Jane Fonda," JANE FONDA:
[Speaking simultaniously in sign language:]  I'm so happy.  I wanted to win very much because I'm so proud of ""Coming Home,"" and I want many people to see the movie.  I'm signing part of what I'm saying tonight because, while we were making the movie, we all became more aware of the problems of the handicapped. Over 14 million people are deaf.  They are the invisible handicapped and can't share this evening, so this is my way of acknowledging them.  [End sign language.]

I'm so proud and grateful.  It's been almost eight years.  This film, ""Coming Home,"" was born in Santa Monica where we live, in the cramped offices of the Indochina Peace Campaign, as a lot of us whose lives have been bound up with the war sat on the floor.  And some of them were veterans.  I thank, I thank all of them.  One of them was my husband, Tom Hayden; one of them was Bruce Gilbert, who has become my partner and is the associate producer of ""Coming Home.""

I want to thank Waldo Salt, the first – how do you...?  Heavy.  The first industry heavy who stuck his neck out and believed in the project.  In fact he believed so much in it that he worked for two years for nothing.  And he lead us to Jerry Hellman, our producer, who fought for us.  And I want to thank you, Jerry, very much.  And I want to thank Haskell Wexler who photographed it so sensitively and Bob Jones who came through in the pinch.  And I want to thank Hal Ashby; you're not here, Hal, but I want to thank you for your taste and for your courage, for your ability with the scissors.  And I want to thank Penny Milford and Bobby Carradine and Bruce Dern and my pal Jon Voight, and Mike Medavoy and Eric Pleskow and Arthur Krim and Marcia Nasatir for getting us the money to make it.

And finally I want to thank my children, Troy and Vanessa, for being understanding and forgiving me my absences.  And again my husband, who helped me believe that besides being entertaining movies can inspire and teach and even be healing.  Thank you, all of you.  Thank the Academy very much.
",,Jane Fonda
1978,Actress in a Supporting Role,California Suite,Maggie Smith," MAGGIE SMITH:
I just, I just really can't believe it.  I'm very, very honored and very grateful.  I would like to thank Neil Simon.  I would like to thank Herbie Ross.  And I would very much like Michael Caine to be here, because believe you me, he was the most supporting actor ever in the world, and it really should go right down the middle.  Thank you very much indeed.
",,Maggie Smith
1978,Documentary (Short Subject),The Flight of the Gossamer Condor,"Jacqueline Phillips Shedd and Ben Shedd, Producers"," JACQUELINE PHILLIPS SHEDD:
I'd like to thank the members of the Academy for this great honor.  During the past two years it often seemed like finishing this film was an impossible dream, as was man-powered flight, but MacCready made it and so did we.  I'd like to express our deepest gratitude to all those who gave us their support during this time, and especially to Mr. Robert Churchill, Simon Campbell-Jones in London, and Boyd Estus, our cinematographer.  We couldn't have done it without you.

BEN SHEDD:
I want to thank Harry and Florence Phillips, Robert and Beverly Shedd, all the creative people who worked on the production; we share this honor with you.  Special thanks to my fellow filmmakers George McQuilken, Oscar Williams and Eleanor Bingham.  Special thanks to my friends; got me through this thing. And to my special assistant, my daughter Nara, whose time I took to make this film.  To Dr. Paul MacCready, who invented and built the Gossamer Condor and proved that man really can fly.  Thank you, members of the Academy.
",,Jacqueline Phillips Shedd
1978,Short Film (Animated),Special Delivery,"Eunice Macaulay and John Weldon, Producers"," EUNICE MACAULAY:
This is absolutely incredible.  Thank you to the Academy.  And I'd like to say that this is the 40th anniversary of the National Film Board of Canada. And we'd like to say happy birthday to them and we're bringing you a present home.

JOHN WELDON:
And I'd like to also thank all our fellow animators out there.  It's just great to be part of such a terrific group.  Thank you very much.
",,Eunice Macaulay
1978,Writing (Screenplay Written Directly for the Screen),Coming Home,"Story by Nancy Dowd;  Screenplay by Waldo Salt, Robert C. Jones"," NANCY DOWD:
I wrote my screenplay in 1973 when our country was still at war in Vietnam. I was inspired by Vietnam veterans and the women who loved them.  They told me of the painful experiences they had suffered in the name of patriotism. Tonight, six years later, I have an Oscar, but for the people of whom I wrote the war still goes on.  I'm thinking of them tonight.  Thank you.

WALDO SALT:
I would like to thank particularly and only, not because of anything except that I think they are the people who made the picture, some of the people that we talked to, some of the people who shared their lives, their war, their post-war, their pain, their difficulties with us that made the heart of the screenplay.  Bobby Muller and his fine wife, Bill Hager, T. Hager, Ron Kovic, Roger Steffens and his Mary, Tim Page, and so many others that I can't list; I hope that they will forgive me.  Some of the people, who would prefer not to be named I believe, who worked in the veterans facilities here in the Bronx and who shared their experiences with us.  To all of the men who fought in Vietnam: those who lost their lives, those who lost their innocence, and those who, working with defoliants, still don't know whether they've lost their lives.  Thank you.

ROBERT C. JONES:
I would like to thank our extremely talented director, Hal Ashby; producer, Jerome Hellman; and a really, really amazing cast.  Thank you.
",,Nancy Dowd
