Year,Category,Winner,Speech
1996,Music (Original Dramatic Score),Gabriel Yared," GABRIEL YARED:
I am very grateful to the Academy.  I am very honored to be here.  I would like to thank the orchestra, Martin in the Field's, my conductor, Walter Murch again, and my editors Bob Randles and Ling Ling.  I dedicate this award to my wife.  Thank you.
"
1996,Sound,"Walter Murch, Mark Berger, David Parker, Chris Newman"," WALTER MURCH:
Thank you to everyone at the Saul Zaentz Film Center for their technical and artistic support.  Thank you to Pat Jackson for great sound effects.  Thank you to Saul Zaentz and Anthony Minghella, a collaborative and compassionate director.  Thank you to my wife Aggie.  Thank you.

MARK BERGER:
I'd also like to thank our scintillatingly effervescent sound editor Pat Jackson, and my wife Susan, and particularly the Academy for honoring a film that could be as exciting and engaging in its quiet moments as in its loud ones.  Thanks for listening.

DAVID PARKER:
[Music begins.]  Thanks to the Academy, Saul and Anthony, everyone who worked on the sound of the film, and to Stephanie, Amanda and Molly.  Thank you very much.
"
1996,Visual Effects,"Volker Engel, Douglas Smith, Clay Pinney, Joseph Viskocil"," VOLKER ENGEL:
Now this is movie magic, really.  Okay.  I'd like to thank a great team.  I'd like to thank Bob Hurrie, Terry Clotiaux, Anna Foerster, Marc Weigert, and other great people who worked on this movie.  And especially I thank Roland Emmerich, the director of ""Independence Day,"" who made all this possible.  And to Roland and Dean, let's kick the tires and light the fires.

DOUGLAS SMITH:
There are over 300 people involved with just the visual effects and I'll thank each of them later tonight, I promise.  I do have to thank Roland Emmerich, our director.  Thank God he had a great sense of humor.  He was with us every day and at all hours.  I'd like to also thank Dean Devlin, and Terry Clotiaux, and my wife Anna Chi.  Thank you.

JOSEPH VISKOCIL:
Thanks, Emmet, Joey.  [Music begins.]  Thank you, Mickey.  Thanks, guys. [Unintelligible...] gotta go!
"
1996,Writing (Screenplay Based on Material Previously Produced or Published),Billy Bob Thornton," BILLY BOB THORNTON:
Whoa.  Lord, have mercy.  [Loud holler from the audience.]  I know all you guys.  My mom, my wife, my buddy Dwight, who are here.  My little boys, Willie and Harry.  My brothers, John and Jimmy.  Harvey Weinstein, Bob Weinstein, God bless 'em.  Larry Meistrich at The Shooting Gallery.  Miss Elizabeth Taylor and, gosh... and Mick's ballerina.  It's a private joke; I said I'd say it. Anyway, this is a terrific honor and, you know, this is the big one.  What can you say?  To the Academy, all you people who supported everything this year, not just this, and a bunch of great actors and crew people in this movie, God bless you all.  Thanks.
"
1996,Honorary Award,To Michael Kidd in recognition of his services to the art of the dance in the art of the screen.," MICHAEL KIDD:
Thank you, Jools.  Jools, you're a treasure for being here.  Thank you.

I didn't know how to handle all this, but my wife Shelah, who was my assistant on many of these pictures and naturally bore the brunt of my grouchiness, said to me:  Michael, the Academy is honoring you.  For once stop being Mr. Bah Humbug and try to enjoy it, at least for your family and friends' sake.  Well, she's not only beautiful, she's right.  So, Shelah, and Matthew, Amy, Kris, and Susan -- and even Julie [Andrews] who calls me an old curmudgeon -- and the many friends who wrote or phoned with the same message, once the reality of all this sinks in I promise to enjoy it.  I've even had my glasses tinted slightly rose-colored.

So many of today's films stress the terrors that await us.  Perhaps this award signifies an awareness that we have been missing something, namely the vitality and the joy of living that movie musicals can express in song and dance.  I thank the Academy for this tribute.  I accept it in the name of all choreographers and especially the dancers who made it all possible.  We feel honored.  Thank you.
"
1997,Art Direction,Art Direction: Peter Lamont; Set Decoration: Michael Ford," PETER LAMONT:
It's only once in a lifetime you get to recreate ""Titanic.""  The day I left ""Titanic"" Jim said to me, ""It's been a hell of a trip.""  Believe me, it was. Jim, Jon, Rae, and my wife, thank you for your support during the whole production.  Finally, I am only as good as the crew around me.  Ladies and gentlemen, you were the best.  Thank you.

MICHAEL FORD:
I would just like to thank two of my chief prop supports, Richard and Barry. Without them I think I would have fallen or drowned, I don't know which. Thank you.  And thank you, Jim.
"
1997,Cinematography,Russell Carpenter," RUSSELL CARPENTER:
Thank you so much.  We're running so late this is becoming sort of a ""Depends"" moment for me.  I want to remind everybody that it was only a year ago exactly to this day that we wrapped principal photography on ""Titanic."" And what a year it's been.  It's gone from being a ship of fools to a ship of dreams.  And that's Jim, Jim all the way.  He stuck to his guns.  Thank you, Jim.  I want to thank my crew that kicked some serious stern, and I love them for it.  And my wife Patricia, you save me in every way a person could be saved.  Thank you.  I love you.
"
1997,Makeup,"Rick Baker, David LeRoy Anderson"," RICK BAKER:
We'd like to thank the Academy, Columbia, Amblin, Steven Spielberg, Barry Sonnenfeld.  Walter, Laurie, Graham and Steve Molen, for making the film.  Don Peterman, for his photography -- get well, Don.  A special thanks to my crew. I'm honored to work with such talented artists.  You're only as good as your crew, and I guess this means I have a damn good crew.  Vincent D'Onofrio and Tony Shalhoub, for their patience and cooperation.  Vincent was incredibly patient while David and I practically tortured him.  Lastly, I'd like to thank my wife Silvia, and my daughters Veronica and Rebecca for their love and support and for teaching me the meaning of joy.  I love you guys very much. Thank you.
"
1997,Music (Original Dramatic Score),James Horner," JAMES HORNER:
Oh my dear God.  I'm sort of speechless.  One wants this to happen, of course, but I've been so close quite a few times but never actually won.  I've got to get my wits about me.  I don't write speeches because I'm always so superstitious.  I want to thank my wife, my family for all of their support and nourishment.  Jim, thank you so much for the chance to do it.  And the musicians who I know so well, and so many other people but I have so little time.  I want to thank Michael Gorfaine, Jim Henrikson, but Michael Gorfaine especially.  You've been around so long and I cannot thank you enough. Thanks, everybody.
"
1997,Music (Original Song),Music by James Horner; Lyric by Will Jennings," JAMES HORNER:
I want to thank, first of all, Rene and Celine for a marvelous, brilliant job.  Thank you so much.  I cannot thank you enough.  Jim Cameron, thank you for being in a good mood that day when I brought you the song.  Peter Gelb, Glen Brunman, Sony 550, thank you.  And Glen, thank you.

WILL JENNINGS:
I thank James for his music.  And love to my wife Carole.  And to all the people all over the world that took ""My Heart Will Go On"" to their hearts, we're very happy.

JAMES HORNER:
Thank you all.
"
1997,Best Picture,"James Cameron and Jon Landau, Producers"," JON LANDAU:
So this morning I woke up and couldn't wait for the day to be over.  Now I don't want it to stop.  I can't act and I can't compose and I can't do visual effects, so I guess that's why I'm producing.  But I have a lot of people that I have to thank on behalf of both Jim and myself.  I want to thank all the nominees here this evening, and all the people that again they've already thanked.  Our incredible cast, we would not be here without you.  My wife Julie, my sons Jamie and Jody.  Rae Sanchini, who is absolutely one of the best people in this industry.  My mom and dad, Edie and Ely.  And now a run through our quick list of credits here:  Josh McLaglen, Mali Finn, Gig Rackauskas, Simon Crane, Jimmy Muro, John Buckley, Lloyd Moriarity, Charles Lee, Martin Laing, Roger Barton, Charlie Arneson, Steve Quayle, Kevin De LaNoy, Lance Julian, Roger Hanna, Tommy Gordon, Les Collins, Tony Graysmark, Doug Fenton, Harry Heeks, Randy Gerston, Grant Hill, Sharon Mann and Anna Roth.  This movie would not have been made except for the conviction and belief of Peter Chernin, Bill Mechanic, Tom Sherak, Jim Gianopulos, Tom Rothman, Sanford Panitch, Vicki Rossellini, Ted Gagliano, Mike Jenkinson, Jim Darbirian, Hilary Clark*, Jon Dolgen, Sherry Lansing, Rob Friedman, John Goldwyn, Arthur Cohen, Wayne Lewellen, Nancy Goliger, Blaise Noto, Greg Brilliant, John Rentsch, Allison Jackson, Maren Moebius, and Steve Panama*. We would not be here without an incredible screenwriter who wrote a great script, Jim Cameron.

JIM CAMERON:
I think Jon saw ""Shine"" too many times.  He thanked everybody and did everything I was going to say.  And my eyes are still sort of doing pinwheels from the last one, so I just want to say a couple of things.  We're here tonight to celebrate the magic of movies.  And I'm grateful every day to get to be a part of that magic and a practitioner in it, and I love it.  And tonight has been such a great celebration for us.  And it seems to somehow express this strange wave that's happened with ""Titanic,"" where people all over the world have opened their hearts to this movie.  And that's so gratifying to all of us that worked on it and we'll be forever grateful to them, the audience, and I know a lot of you are watching at home.

In the midst of all this euphoria, it's kind of hard for us to remember that this euphoria and the success is for a film that's based on a real event that happened, where real people died, that shocked the world in 1912.  So I'd just like everybody to go with me just for a second on something here.  I'd like to do a few seconds of silence in remembrance of the 1,500 men, women and children who died when the great ship died.  The message of ""Titanic"" of course is, that if the great ship can sink, the unthinkable can happen, the future is unknowable, the only thing that we truly own is today.  Life is precious.  So during these few seconds I'd like you to also listen to the beating of your own heart which is the most precious thing in the world.  Join me please in a few seconds of silence for ""Titanic"" . . . . Thank you very much. That's about as much as I'm sure Gil Cates can stand.  All right, you've really made this a night to remember in every way.  Now let's go party till dawn.
"
